CCDS_r9	CCDS_r11	CCDS_r12	CCDS_r14	CCDS_r15	RVIS_ExAC_0.05%(AnyPopn)	%RVIS_ExAC_0.05%(AnyPopn)
DIEXF	DIEXF	DIEXF	DIEXF	DIEXF	0.547101128	80.10360822
SERTAD4	SERTAD4	SERTAD4	SERTAD4	SERTAD4	-0.048645144	46.82850431
HHAT	HHAT	HHAT	HHAT	HHAT	0.44260248	75.95325583
KCNH1	KCNH1	KCNH1	KCNH1	KCNH1	-1.870155529	2.313113668
TRAF5	TRAF5	TRAF5	TRAF5	TRAF5	0.323733493	70.36925486
RD3	RD3	RD3	RD3	RD3	0.703164397	85.00692729
SLC30A1	SLC30A1	SLC30A1	SLC30A1	SLC30A1	-1.063829876	8.16818264
NEK2	NEK2	NEK2	NEK2	NEK2	-0.157049854	39.42533582
INTS7	INTS7	INTS7	INTS7	INTS7	-1.547981287	3.656406241
DTL	DTL	DTL	DTL	DTL	-1.517038732	3.843141979
PPP2R5A	PPP2R5A	PPP2R5A	PPP2R5A	PPP2R5A	-0.595667529	18.55309921
TMEM206	TMEM206	TMEM206	TMEM206	TMEM206	-0.618316659	17.72182399
NENF	NENF	NENF	NENF	NENF	0.061324572	54.6292392
ATF3	ATF3	ATF3	ATF3	ATF3	0.193002761	63.42991386
FAM71A	FAM71A	FAM71A	FAM71A	FAM71A	0.98433086	90.78971146
BATF3	BATF3	BATF3	BATF3	BATF3	0.111779833	58.15914704
NSL1	NSL1	NSL1	NSL1	NSL1	0.34420377	71.44147943
FLVCR1	FLVCR1	FLVCR1	FLVCR1	FLVCR1	-0.09082047	43.98530209
VASH2	VASH2	VASH2	VASH2	VASH2	-0.142677362	40.49153665
ANGEL2	ANGEL2	ANGEL2	ANGEL2	ANGEL2	-0.157831755	39.37112222
RPS6KC1	RPS6KC1	RPS6KC1	RPS6KC1	RPS6KC1	-0.523830085	20.75778568
PTPN14	PTPN14	PTPN14	PTPN14	PTPN14	-1.073427743	8.029636769
KCTD3	KCTD3	KCTD3	KCTD3	KCTD3	-1.033055818	8.51153545
USH2A	USH2A	USH2A	USH2A	USH2A	4.476287708	99.78916933
ESRRG	ESRRG	ESRRG	ESRRG	ESRRG	-0.956198018	9.680139751
GPATCH2	GPATCH2	GPATCH2	GPATCH2	GPATCH2	0.18534205	62.92994398
SPATA17	SPATA17	SPATA17	SPATA17	SPATA17	0.077719143	55.74965364
RRP15	RRP15	RRP15	RRP15	RRP15	0.45932487	76.58574785
TGFB2	TGFB2	TGFB2	TGFB2	TGFB2	-0.580671068	19.05306909
LYPLAL1	LYPLAL1	LYPLAL1	LYPLAL1	LYPLAL1	0.479630555	77.39292814
IARS2	IARS2	IARS2	IARS2	IARS2	-0.391366359	26.74537678
MARC2	MARC2	MARC2	MARC2	MARC2	0.352482611	71.82097464
MARC1	MARC1	MARC1	MARC1	MARC1	1.061356957	91.9101259
HLX	HLX	HLX	HLX	HLX	0.076937023	55.6894163
DUSP10	DUSP10	DUSP10	DUSP10	DUSP10	-0.636437305	17.19173544
HHIPL2	HHIPL2	HHIPL2	HHIPL2	HHIPL2	0.827025485	87.91639058
TAF1A	TAF1A	TAF1A	TAF1A	TAF1A	0.606779578	82.10951148
AIDA	AIDA	AIDA	AIDA	AIDA	-0.021463089	48.8585025
BROX	BROX	BROX	BROX	BROX	-0.771087522	13.51123426
FAM177B	FAM177B	FAM177B	FAM177B	FAM177B	0.481981065	77.50135534
DISP1	DISP1	DISP1	DISP1	DISP1	-1.215777351	6.379133787
C1orf65	C1orf65	C1orf65	C1orf65	C1orf65	-0.118784537	41.96132763
TP53BP2	TP53BP2	TP53BP2	TP53BP2	TP53BP2	-1.263674341	5.734594302
FBXO28	FBXO28	FBXO28	FBXO28	FBXO28	0.015400267	51.47280284
DEGS1	DEGS1	DEGS1	DEGS1	DEGS1	-0.051611578	46.64176857
NVL	NVL	NVL	NVL	NVL	0.064748288	54.82802241
CNIH4	CNIH4	CNIH4	CNIH4	CNIH4	0.626473002	82.80224083
CNIH3	CNIH3	CNIH3	CNIH3	CNIH3	0.098970343	57.26763448
LBR	LBR	LBR	LBR	LBR	0.433541836	75.53761822
SRP9	SRP9	SRP9	SRP9	SRP9	0.079446938	55.91229444
EPHX1	EPHX1	EPHX1	EPHX1	EPHX1	0.937779748	89.94638877
LEFTY1	LEFTY1	LEFTY1	LEFTY1	LEFTY1	1.172741089	93.33775074
LEFTY2	LEFTY2	LEFTY2	LEFTY2	LEFTY2	-0.226246062	35.41352931
H3F3A	H3F3A	H3F3A	H3F3A	H3F3A	0.104283536	57.63508222
ACBD3	ACBD3	ACBD3	ACBD3	ACBD3	0.174097518	62.25528583
MIXL1	MIXL1	MIXL1	MIXL1	MIXL1	0.123024262	58.98439853
LIN9	LIN9	LIN9	LIN9	LIN9	-0.944950217	9.860851756
PARP1	PARP1	PARP1	PARP1	PARP1	-0.636775451	17.17968797
ITPKB	ITPKB	ITPKB	ITPKB	ITPKB	0.641767512	83.15764111
PSEN2	PSEN2	PSEN2	PSEN2	PSEN2	-0.146586741	40.20239745
ADCK3	ADCK3	ADCK3	ADCK3	ADCK3	0.339349829	71.17041142
CDC42BPA	CDC42BPA	CDC42BPA	CDC42BPA	CDC42BPA	-1.861501842	2.355279802
JMJD4	JMJD4	JMJD4	JMJD4	JMJD4	0.253755448	66.62249262
SNAP47	SNAP47	SNAP47	SNAP47	SNAP47	0.834680289	88.07903138
PRSS38	PRSS38	PRSS38	PRSS38	PRSS38	1.302082986	94.72923318
WNT3A	WNT3A	WNT3A	WNT3A	WNT3A	-0.526467931	20.66742967
ARF1	ARF1	ARF1	ARF1	ARF1	-0.17719633	38.22661285
C1orf35	C1orf35	C1orf35	C1orf35	C1orf35	0.390912411	73.64616589
MRPL55	MRPL55	MRPL55	MRPL55	MRPL55	0.386381266	73.43533522
GUK1	GUK1	GUK1	GUK1	GUK1	0.079283502	55.88819951
GJC2	GJC2	GJC2	GJC2	GJC2	-0.236710367	34.84127462
OBSCN	OBSCN	OBSCN	OBSCN	OBSCN	14.31211987	99.97590507
TRIM17	TRIM17	TRIM17	TRIM17	TRIM17	-0.279827959	32.28721161
HIST3H3	HIST3H3	HIST3H3	HIST3H3	HIST3H3	0.11239832	58.23745557
HIST3H2A	HIST3H2A	HIST3H2A	HIST3H2A	HIST3H2A	-0.194535243	37.26883923
HIST3H2BB	HIST3H2BB	HIST3H2BB	HIST3H2BB	HIST3H2BB	-0.458675776	23.46244202
RHOU	RHOU	RHOU	RHOU	RHOU	-0.195316665	37.21462562
SPHAR	SPHAR	SPHAR	SPHAR	SPHAR	0.235962947	65.71893259
CCSAP	CCSAP	CCSAP	CCSAP	CCSAP	0.473702055	77.14595506
ACTA1	ACTA1	ACTA1	ACTA1	ACTA1	-0.591137909	18.74585868
NUP133	NUP133	NUP133	NUP133	NUP133	-0.397464973	26.37190531
ABCB10	ABCB10	ABCB10	ABCB10	ABCB10	-0.286542412	31.9257876
TAF5L	TAF5L	TAF5L	TAF5L	TAF5L	-0.85997209	11.54749714
GALNT2	GALNT2	GALNT2	GALNT2	GALNT2	-0.653777082	16.69778929
COG2	COG2	COG2	COG2	COG2	-0.525227064	20.70959581
AGT	AGT	AGT	AGT	AGT	0.990422759	90.8860912
CAPN9	CAPN9	CAPN9	CAPN9	CAPN9	1.539710242	96.43394976
C1orf198	C1orf198	C1orf198	C1orf198	C1orf198	0.29453085	68.92355882
TTC13	TTC13	TTC13	TTC13	TTC13	-1.038369064	8.457321848
ARV1	ARV1	ARV1	ARV1	ARV1	-0.348864129	28.78139871
C1orf131	C1orf131	C1orf131	C1orf131	C1orf131	0.194403121	63.5443648
GNPAT	GNPAT	GNPAT	GNPAT	GNPAT	-0.406975252	25.82976929
EXOC8	EXOC8	EXOC8	EXOC8	EXOC8	-0.914178285	10.43310644
SPRTN	SPRTN	SPRTN	SPRTN	SPRTN	-0.092384416	43.85880369
EGLN1	EGLN1	EGLN1	EGLN1	EGLN1	-0.11331101	42.28660924
TSNAX	TSNAX	TSNAX	TSNAX	TSNAX	-0.484292909	22.35407506
NTPCR	NTPCR	NTPCR	NTPCR	NTPCR	0.278756083	68.06216493
KIAA1804	KIAA1804	KIAA1804	KIAA1804	KIAA1804	0.787191243	87.03090175
KCNK1	KCNK1	KCNK1	KCNK1	KCNK1	-0.193131264	37.3351003
SLC35F3	SLC35F3	SLC35F3	SLC35F3	SLC35F3	-0.74703147	14.17384495
TARBP1	TARBP1	TARBP1	TARBP1	TARBP1	-0.121461353	41.81073429
IRF2BP2	IRF2BP2	IRF2BP2	IRF2BP2	IRF2BP2	-0.499444953	21.81796277
TOMM20	TOMM20	TOMM20	TOMM20	TOMM20	-0.110965988	42.43117884
GGPS1	GGPS1	GGPS1	GGPS1	GGPS1	-0.022245082	48.7862177
TBCE	TBCE	TBCE	TBCE	TBCE	0.624737571	82.76609843
B3GALNT2	B3GALNT2	B3GALNT2	B3GALNT2	B3GALNT2	-0.248115401	34.26299621
GNG4	GNG4	GNG4	GNG4	GNG4	0.16145294	61.48424794
NID1	NID1	NID1	NID1	NID1	0.932054099	89.81386663
GPR137B	GPR137B	GPR137B	GPR137B	GPR137B	-0.028339433	48.25010542
EDARADD	EDARADD	EDARADD	EDARADD	EDARADD	-0.079414324	44.83464852
LGALS8	LGALS8	LGALS8	LGALS8	LGALS8	-0.145022786	40.29275345
ACTN2	ACTN2	ACTN2	ACTN2	ACTN2	-0.486182555	22.28781399
MTR	MTR	MTR	MTR	MTR	-0.520866843	20.86018915
ZP4	ZP4	ZP4	ZP4	ZP4	0.712679805	85.27197157
CHRM3	CHRM3	CHRM3	CHRM3	CHRM3	-0.018658554	48.99704837
FH	FH	FH	FH	FH	-0.610037741	17.99891573
KMO	KMO	KMO	KMO	KMO	0.077719143	55.74965364
EXO1	EXO1	EXO1	EXO1	EXO1	1.051977502	91.72941389
PLD5	PLD5	PLD5	PLD5	PLD5	-0.234524766	34.99186796
ZNF238	ZNF238	ZBTB18	ZBTB18	ZBTB18	-1.229421729	6.168303114
ADSS	ADSS	ADSS	ADSS	ADSS	-0.480543862	22.53478706
C1orf101	C1orf101	C1orf101	C1orf101	C1orf101	0.259688305	66.9598217
DESI2	DESI2	DESI2	DESI2	DESI2	-0.012402315	49.42473345
TFB2M	TFB2M	TFB2M	TFB2M	TFB2M	-0.186416163	37.63628697
CNST	CNST	CNST	CNST	CNST	0.304048758	69.4235287
AHCTF1	AHCTF1	AHCTF1	AHCTF1	AHCTF1	0.299062045	69.21872176
ZNF496	ZNF496	ZNF496	ZNF496	ZNF496	-0.560525062	19.59520511
NLRP3	NLRP3	NLRP3	NLRP3	NLRP3	-0.841403361	11.91494488
OR2C3	OR2C3	OR2C3	OR2C3	OR2C3	0.853586796	88.4765978
C1orf150	GCSAML	GCSAML	GCSAML	GCSAML	0.238927786	65.90566833
TRIM58	TRIM58	TRIM58	TRIM58	TRIM58	-0.161580132	39.12414915
OR2L13	OR2L13	OR2L13	OR2L13	OR2L13	0.569915733	80.97102584
ACP1	ACP1	ACP1	ACP1	ACP1	-0.080196141	44.75633998
TPO	TPO	TPO	TPO	TPO	0.064587428	54.82199867
RNASEH1	RNASEH1	RNASEH1	RNASEH1	RNASEH1	-0.448990697	23.8901271
RPS7	RPS7	RPS7	RPS7	RPS7	-0.09519008	43.71423408
COLEC11	COLEC11	COLEC11	COLEC11	COLEC11	0.256102396	66.77308596
TSSC1	TSSC1	TSSC1	TSSC1	TSSC1	-0.452739484	23.69736763
TRAPPC12	TRAPPC12	TRAPPC12	TRAPPC12	TRAPPC12	-0.897004911	10.78248298
ADI1	ADI1	ADI1	ADI1	ADI1	0.629436206	82.8865731
RSAD2	RSAD2	RSAD2	RSAD2	RSAD2	0.276408013	67.88145292
RNF144A	RNF144A	RNF144A	RNF144A	RNF144A	-0.295442901	31.43184146
ID2	ID2	ID2	ID2	ID2	-0.132835322	41.06981507
MBOAT2	MBOAT2	MBOAT2	MBOAT2	MBOAT2	0.153009547	60.99632552
ASAP2	ASAP2	ASAP2	ASAP2	ASAP2	-1.719706913	2.855249684
ITGB1BP1	ITGB1BP1	ITGB1BP1	ITGB1BP1	ITGB1BP1	-0.194535243	37.26883923
CPSF3	CPSF3	CPSF3	CPSF3	CPSF3	-0.986346817	9.168122402
ADAM17	ADAM17	ADAM17	ADAM17	ADAM17	-0.585361843	18.90247575
YWHAQ	YWHAQ	YWHAQ	YWHAQ	YWHAQ	-0.450396929	23.82988977
KLF11	KLF11	KLF11	KLF11	KLF11	-0.594423589	18.61333655
RRM2	RRM2	RRM2	RRM2	RRM2	-0.381198136	27.18510933
C2orf48	C2orf48	C2orf48	C2orf48	C2orf48	0.003373183	50.61743268
HPCAL1	HPCAL1	HPCAL1	HPCAL1	HPCAL1	-0.272792949	32.75103909
ODC1	ODC1	ODC1	ODC1	ODC1	-1.242231819	6.02373351
NOL10	NOL10	NOL10	NOL10	NOL10	0.613492751	82.31431841
ATP6V1C2	ATP6V1C2	ATP6V1C2	ATP6V1C2	ATP6V1C2	0.452445652	76.31467984
PDIA6	PDIA6	PDIA6	PDIA6	PDIA6	-0.594261163	18.64947895
KCNF1	KCNF1	KCNF1	KCNF1	KCNF1	-1.03899157	8.439250648
C2orf50	C2orf50	C2orf50	C2orf50	C2orf50	0.642246958	83.19378351
PQLC3	PQLC3	PQLC3	PQLC3	PQLC3	0.506034292	78.56153244
E2F6	E2F6	E2F6	E2F6	E2F6	0.105684273	57.74953316
NTSR2	NTSR2	NTSR2	NTSR2	NTSR2	0.694101406	84.73585929
LPIN1	LPIN1	LPIN1	LPIN1	LPIN1	-0.927945275	10.16806216
TRIB2	TRIB2	TRIB2	TRIB2	TRIB2	-0.320279126	30.20299982
FAM84A	FAM84A	FAM84A	FAM84A	FAM84A	0.159104977	61.3517258
NBAS	NBAS	NBAS	NBAS	NBAS	-0.323268466	30.01626408
DDX1	DDX1	DDX1	DDX1	DDX1	-0.856223554	11.63785314
MYCN	MYCN	MYCN	MYCN	MYCN	-0.725162342	14.74609963
FAM49A	FAM49A	FAM49A	FAM49A	FAM49A	-0.409002751	25.73941329
VSNL1	VSNL1	VSNL1	VSNL1	VSNL1	-0.119244784	41.9553039
SMC6	SMC6	SMC6	SMC6	SMC6	-1.185222181	6.650201795
GEN1	GEN1	GEN1	GEN1	GEN1	0.22797729	65.25510511
KCNS3	KCNS3	KCNS3	KCNS3	KCNS3	-0.054739446	46.40081923
RDH14	RDH14	RDH14	RDH14	RDH14	0.093657325	56.8580206
OSR1	OSR1	OSR1	OSR1	OSR1	-0.175010591	38.36515873
WDR35	WDR35	WDR35	WDR35	WDR35	0.265465975	67.26100837
LAPTM4A	LAPTM4A	LAPTM4A	LAPTM4A	LAPTM4A	0.150826215	60.86982712
SDC1	SDC1	SDC1	SDC1	SDC1	0.149261361	60.74332872
PUM2	PUM2	PUM2	PUM2	PUM2	-2.039537829	1.849286188
RHOB	RHOB	RHOB	RHOB	RHOB	-0.227650294	35.32919704
HS1BP3	HS1BP3	HS1BP3	HS1BP3	HS1BP3	0.547261317	80.10963195
C2orf43	C2orf43	C2orf43	C2orf43	C2orf43	0.364509381	72.41732426
APOB	APOB	APOB	APOB	APOB	-0.604284877	18.19769893
UBXN2A	UBXN2A	UBXN2A	UBXN2A	UBXN2A	0.03117561	52.58116981
C2orf44	C2orf44	C2orf44	C2orf44	C2orf44	-0.090200263	44.03349196
FKBP1B	FKBP1B	FKBP1B	FKBP1B	FKBP1B	-0.094408392	43.77447142
SF3B14	SF3B14	SF3B14	SF3B14	SF3B14	0.083195142	56.18938618
TP53I3	TP53I3	TP53I3	TP53I3	TP53I3	0.273442505	67.75495452
PFN4	PFN4	PFN4	PFN4	PFN4	0.33749117	71.11017409
ITSN2	ITSN2	ITSN2	ITSN2	ITSN2	-0.236759318	34.80513222
NCOA1	NCOA1	NCOA1	NCOA1	NCOA1	-2.60676384	0.975844829
CENPO	CENPO	CENPO	CENPO	CENPO	0.375753348	72.92331787
ADCY3	ADCY3	ADCY3	ADCY3	ADCY3	-1.521163557	3.806999578
DNAJC27	DNAJC27	DNAJC27	DNAJC27	DNAJC27	-0.026775439	48.42479369
POMC	POMC	POMC	POMC	POMC	0.175662514	62.34564183
DNMT3A	DNMT3A	DNMT3A	DNMT3A	DNMT3A	-1.956719104	2.108306729
KIF3C	KIF3C	KIF3C	KIF3C	KIF3C	-0.702050986	15.42678152
RAB10	RAB10	RAB10	RAB10	RAB10	-0.135802373	40.8770556
HADHA	HADHA	HADHA	HADHA	HADHA	-0.816392732	12.46310463
HADHB	HADHB	HADHB	HADHB	HADHB	-0.912614423	10.47527257
CCDC164	CCDC164	DRC1	DRC1	DRC1	1.721104129	97.31943859
OTOF	OTOF	OTOF	OTOF	OTOF	1.13873576	92.94018433
KCNK3	KCNK3	KCNK3	KCNK3	KCNK3	0.003373183	50.61743268
C2orf18	SLC35F6	SLC35F6	SLC35F6	SLC35F6	-0.572392179	19.31208963
CENPA	CENPA	CENPA	CENPA	CENPA	0.297663274	69.11029456
DPYSL5	DPYSL5	DPYSL5	DPYSL5	DPYSL5	-1.023994683	8.662128787
MAPRE3	MAPRE3	MAPRE3	MAPRE3	MAPRE3	-0.508348935	21.36618276
AGBL5	AGBL5	AGBL5	AGBL5	AGBL5	-0.878268241	11.11981206
EMILIN1	EMILIN1	EMILIN1	EMILIN1	EMILIN1	0.772041295	86.63333534
KHK	KHK	KHK	KHK	KHK	0.683472899	84.44069634
ABHD1	ABHD1	ABHD1	ABHD1	ABHD1	-0.096914759	43.58171195
PREB	PREB	PREB	PREB	PREB	0.238762509	65.87554967
C2orf53	C2orf53	C2orf53	C2orf53	C2orf53	0.666914858	83.90458406
SLC5A6	SLC5A6	SLC5A6	SLC5A6	SLC5A6	-0.395730559	26.48033251
C2orf28	ATRAID	ATRAID	ATRAID	ATRAID	0.084596245	56.25564725
CAD	CAD	CAD	CAD	CAD	-5.387628032	0.066261069
SLC30A3	SLC30A3	SLC30A3	SLC30A3	SLC30A3	1.076347795	92.0908379
DNAJC5G	DNAJC5G	DNAJC5G	DNAJC5G	DNAJC5G	0.41121801	74.57984459
TRIM54	TRIM54	TRIM54	TRIM54	TRIM54	0.098806915	57.23751581
MPV17	MPV17	MPV17	MPV17	MPV17	0.394660173	73.8449491
GTF3C2	GTF3C2	GTF3C2	GTF3C2	GTF3C2	-1.382373397	4.674417204
SNX17	SNX17	SNX17	SNX17	SNX17	-0.983379388	9.228359737
ZNF513	ZNF513	ZNF513	ZNF513	ZNF513	-0.341527355	29.14282272
PPM1G	PPM1G	PPM1G	PPM1G	PPM1G	-0.307470354	30.95596651
NRBP1	NRBP1	NRBP1	NRBP1	NRBP1	-0.431651917	24.71537859
KRTCAP3	KRTCAP3	KRTCAP3	KRTCAP3	KRTCAP3	-0.22921306	35.2689597
IFT172	IFT172	IFT172	IFT172	IFT172	-0.255672999	33.73290766
FNDC4	FNDC4	FNDC4	FNDC4	FNDC4	-0.232180322	35.1063189
GCKR	GCKR	GCKR	GCKR	GCKR	0.076775354	55.6713451
ZNF512	ZNF512	ZNF512	ZNF512	ZNF512	-0.91183315	10.48732004
CCDC121	CCDC121	CCDC121	CCDC121	CCDC121	0.113180645	58.29166918
GPN1	GPN1	GPN1	GPN1	GPN1	0.020550565	51.74989458
MRPL33	MRPL33	MRPL33	MRPL33	MRPL33	0.086943339	56.46045419
RBKS	RBKS	RBKS	RBKS	RBKS	0.235796789	65.70086139
BRE	BRE	BRE	BRE	BRE	-0.758278498	13.86061081
FOSL2	FOSL2	FOSL2	FOSL2	FOSL2	-0.646121638	16.92669116
SPDYA	SPDYA	SPDYA	SPDYA	SPDYA	0.019148579	51.62339618
TRMT61B	TRMT61B	TRMT61B	TRMT61B	TRMT61B	0.170968559	62.00831275
FAM179A	FAM179A	FAM179A	FAM179A	FAM179A	3.83562729	99.70483706
CLIP4	CLIP4	CLIP4	CLIP4	CLIP4	-0.656124591	16.62550449
YPEL5	YPEL5	YPEL5	YPEL5	YPEL5	-0.044735561	47.15980965
LCLAT1	LCLAT1	LCLAT1	LCLAT1	LCLAT1	-0.074263129	45.24426239
GALNT14	GALNT14	GALNT14	GALNT14	GALNT14	0.230321984	65.36955605
EHD3	EHD3	EHD3	EHD3	EHD3	-0.773432037	13.45099693
XDH	XDH	XDH	XDH	XDH	0.864269045	88.63321487
MEMO1	MEMO1	MEMO1	MEMO1	MEMO1	-0.206562728	36.51587254
DPY30	DPY30	DPY30	DPY30	DPY30	0.124589405	59.12896813
SPAST	SPAST	SPAST	SPAST	SPAST	-0.2563941	33.70881272
SLC30A6	SLC30A6	SLC30A6	SLC30A6	SLC30A6	0.018986416	51.57520631
YIPF4	YIPF4	YIPF4	YIPF4	YIPF4	-0.248737829	34.21480634
CRIM1	CRIM1	CRIM1	CRIM1	CRIM1	-0.76549848	13.70399374
STRN	STRN	STRN	STRN	STRN	-1.216773211	6.36708632
CCDC75	CCDC75	GPATCH11	GPATCH11	GPATCH11	0.358580146	72.17035118
EIF2AK2	EIF2AK2	EIF2AK2	EIF2AK2	EIF2AK2	-1.110538523	7.505571953
CEBPZ	CEBPZ	CEBPZ	CEBPZ	CEBPZ	-0.209398606	36.37130293
C2orf56	NDUFAF7	NDUFAF7	NDUFAF7	NDUFAF7	-0.113472081	42.24444311
PRKD3	PRKD3	PRKD3	PRKD3	PRKD3	-0.880446157	11.07764592
QPCT	QPCT	QPCT	QPCT	QPCT	0.073188746	55.41232456
CDC42EP3	CDC42EP3	CDC42EP3	CDC42EP3	CDC42EP3	-0.295442901	31.43184146
FAM82A1	FAM82A1	RMDN2	RMDN2	RMDN2	0.9263758	89.67532076
CYP1B1	CYP1B1	CYP1B1	CYP1B1	CYP1B1	0.401990597	74.14011204
ATL2	ATL2	ATL2	ATL2	ATL2	0.100990919	57.35196675
GALM	GALM	GALM	GALM	GALM	-0.02084278	48.88259743
GEMIN6	GEMIN6	GEMIN6	GEMIN6	GEMIN6	-0.364640565	27.99831335
DHX57	DHX57	DHX57	DHX57	DHX57	-0.471552061	22.8841636
SOS1	SOS1	SOS1	SOS1	SOS1	-1.922209741	2.180591531
MAP4K3	MAP4K3	MAP4K3	MAP4K3	MAP4K3	-0.747977937	14.13167881
TMEM178A	TMEM178A	TMEM178A	TMEM178A	TMEM178A	-0.310437986	30.79934944
THUMPD2	THUMPD2	THUMPD2	THUMPD2	THUMPD2	-0.405411265	25.98036263
SLC8A1	SLC8A1	SLC8A1	SLC8A1	SLC8A1	-1.231154093	6.14420818
EML4	EML4	EML4	EML4	EML4	-0.553983378	19.84217818
COX7A2L	COX7A2L	COX7A2L	COX7A2L	COX7A2L	0.114745473	58.43021505
KCNG3	KCNG3	KCNG3	KCNG3	KCNG3	-0.781554918	13.28233239
OXER1	OXER1	OXER1	OXER1	OXER1	1.965156579	98.18083248
ZFP36L2	ZFP36L2	ZFP36L2	ZFP36L2	ZFP36L2	-0.467111291	23.01668574
PLEKHH2	PLEKHH2	PLEKHH2	PLEKHH2	PLEKHH2	-0.266130372	33.14258177
DYNC2LI1	DYNC2LI1	DYNC2LI1	DYNC2LI1	DYNC2LI1	0.469785863	76.97729052
ABCG5	ABCG5	ABCG5	ABCG5	ABCG5	1.389254114	95.45810493
ABCG8	ABCG8	ABCG8	ABCG8	ABCG8	0.766732554	86.48876574
PPM1B	PPM1B	PPM1B	PPM1B	PPM1B	-0.710166522	15.19787965
SLC3A1	SLC3A1	SLC3A1	SLC3A1	SLC3A1	-0.243912751	34.49189808
CAMKMT	CAMKMT	CAMKMT	CAMKMT	CAMKMT	-0.543025656	20.18553099
SIX3	SIX3	SIX3	SIX3	SIX3	0.039454339	53.16547196
SIX2	SIX2	SIX2	SIX2	SIX2	-0.019278736	48.99102464
SRBD1	SRBD1	SRBD1	SRBD1	SRBD1	0.53258208	79.6156858
PRKCE	PRKCE	PRKCE	PRKCE	PRKCE	-0.87278199	11.25835793
EPAS1	EPAS1	EPAS1	EPAS1	EPAS1	-0.458381764	23.46846576
ATP6V1E2	ATP6V1E2	ATP6V1E2	ATP6V1E2	ATP6V1E2	0.405903663	74.36901391
PIGF	PIGF	PIGF	PIGF	PIGF	0.436054822	75.63399795
CRIPT	CRIPT	CRIPT	CRIPT	CRIPT	-0.049265897	46.79236191
SOCS5	SOCS5	SOCS5	SOCS5	SOCS5	-1.169277489	6.794771399
C2orf61	C2orf61	C2orf61	C2orf61	C2orf61	1.078701308	92.1269803
CALM2	CALM2	CALM2	CALM2	CALM2	0.046331531	53.62929944
EPCAM	EPCAM	EPCAM	EPCAM	EPCAM	0.738461361	85.84422625
MSH2	MSH2	MSH2	MSH2	MSH2	-1.024340829	8.656105054
MSH6	MSH6	MSH6	MSH6	MSH6	-2.18854146	1.542075779
FBXO11	FBXO11	FBXO11	FBXO11	FBXO11	-1.474072021	4.090115053
FOXN2	FOXN2	FOXN2	FOXN2	FOXN2	-0.804985039	12.79440998
PPP1R21	PPP1R21	PPP1R21	PPP1R21	PPP1R21	-0.832338959	12.08963315
STON1-GTF2A1L	STON1-GTF2A1L	STON1-GTF2A1L	STON1-GTF2A1L	STON1-GTF2A1L	-0.089910353	44.06963436
STON1	STON1	STON1	STON1	STON1	0.586153759	81.52520932
LHCGR	LHCGR	LHCGR	LHCGR	LHCGR	-0.31669112	30.36564062
FSHR	FSHR	FSHR	FSHR	FSHR	-1.333477071	5.102102283
NRXN1	NRXN1	NRXN1	NRXN1	NRXN1	-1.883401977	2.276971267
ASB3	ASB3	ASB3	ASB3	ASB3	0.0881819	56.53876273
ERLEC1	ERLEC1	ERLEC1	ERLEC1	ERLEC1	-0.025373127	48.53924462
GPR75	GPR75	GPR75	GPR75	GPR75	-0.319657291	30.22107102
ACYP2	ACYP2	ACYP2	ACYP2	ACYP2	0.412001536	74.62803446
RTN4	RTN4	RTN4	RTN4	RTN4	-0.220642248	35.78097705
MTIF2	MTIF2	MTIF2	MTIF2	MTIF2	-0.581613724	19.01692669
CCDC104	CCDC104	CCDC104	CCDC104	CCDC104	-0.040366459	47.40678272
SMEK2	SMEK2	SMEK2	SMEK2	SMEK2	-1.517822413	3.831094512
PNPT1	PNPT1	PNPT1	PNPT1	PNPT1	-0.137688607	40.73850973
EFEMP1	EFEMP1	EFEMP1	EFEMP1	EFEMP1	-0.622846703	17.57123065
VRK2	VRK2	VRK2	VRK2	VRK2	0.5382001	79.80242154
FANCL	FANCL	FANCL	FANCL	FANCL	0.803128456	87.35618336
BCL11A	BCL11A	BCL11A	BCL11A	BCL11A	-1.669838259	3.041985423
PAPOLG	PAPOLG	PAPOLG	PAPOLG	PAPOLG	-1.515473562	3.849165713
REL	REL	REL	REL	REL	-0.364017479	28.03445576
PUS10	PUS10	PUS10	PUS10	PUS10	-1.140689786	7.114029275
PEX13	PEX13	PEX13	PEX13	PEX13	0.639895656	83.09740377
KIAA1841	KIAA1841	KIAA1841	KIAA1841	KIAA1841	-0.13159362	41.13607614
AHSA2	AHSA2	AHSA2	AHSA2	AHSA2	0.547429415	80.11565568
COMMD1	COMMD1	COMMD1	COMMD1	COMMD1	0.716759692	85.39846997
B3GNT2	B3GNT2	B3GNT2	B3GNT2	B3GNT2	-0.213437187	36.14842479
TMEM17	TMEM17	TMEM17	TMEM17	TMEM17	0.192220069	63.36365279
EHBP1	EHBP1	EHBP1	EHBP1	EHBP1	-1.17633888	6.734534064
OTX1	OTX1	OTX1	OTX1	OTX1	-0.749218862	14.07144148
MDH1	MDH1	MDH1	MDH1	MDH1	-0.418843198	25.21534847
UGP2	UGP2	UGP2	UGP2	UGP2	-0.829041249	12.19203662
PELI1	PELI1	PELI1	PELI1	PELI1	-0.810921827	12.60767424
LGALSL	LGALSL	LGALSL	LGALSL	LGALSL	0.308906669	69.69459671
